##############################
# Brazil (BRA) 
#   - 22 players

   -  GK  Velloso                            ##    -, Fluminense 
   -  GK  Joel                               ##    -, América-RJ 

   -  DF  Brilhante                          ##    -, Vasco da Gama 
   -  DF  Zé Luiz                            ##    -, São Cristóvão 
   -  DF  Itália                             ##    -, Vasco da Gama 
   -  DF  Oscarino                           ##    -, Ypiranga Niterói 

   -  MF  Fernando                           ##    -, Fluminense 
   -  MF  Hermógenes                         ##    -, America-RJ 
   -  MF  Fausto                             ##    -, Vasco da Gama 
   -  MF  Ivan Mariz                         ##    -, Fluminense 
   -  MF  Pamplona                           ##    -, Botafogo 
   -  MF  Fortes                             ##    -, Fluminense 

   -  FW  Manoelzinho                        ##    -, Ypiranga Niterói 
   -  FW  Nilo                               ##    -, Botafogo 
   -  FW  Moderato                           ##    -, Flamengo 
   -  FW  Carvalho Leite                     ##    -, Botafogo 
   -  FW  Poly                               ##    -, Americano 
   -  FW  Preguinho                          ##    -, Fluminense 
   -  FW  Russinho                           ##    -, Vasco da Gama 
   -  FW  Teóphilo                           ##    -, São Cristóvão 
   -  FW  Benedicto                          ##    -, Botafogo 
   -  FW  Araken                             ##    -, Flamengo 

