##############################
# Brazil (BRA) 
#   - 22 players

   -  GK  Walter                             ##    -, Flamengo 
   -  GK  Batatais                           ##    -, Fluminense 

   -  DF  Nariz                              ##    -, Botafogo 
   -  DF  Machado                            ##    -, Fluminense 
   -  DF  Jaú                                ##    -, Corinthians 
   -  DF  Domingos da Guia                   ##    -, Flamengo 

   -  MF  Afonsinho                          ##    -, São Cristóvão 
   -  MF  Britto                             ##    -, América Mineiro 
   -  MF  Argemiro                           ##    -, Portuguesa Santista 
   -  MF  Martim                             ##    -, Botafogo 
   -  MF  Brandão                            ##    -, Corinthians 
   -  MF  Zezé Procópio                      ##    -, Botafogo 

   -  FW  Hércules                           ##    -, Fluminense 
   -  FW  Luizinho                           ##    -, SS Palestra Italia 
   -  FW  Lopes                              ##    -, Corinthians 
   -  FW  Patesko                            ##    -, Botafogo 
   -  FW  Perácio                            ##    -, Botafogo 
   -  FW  Roberto                            ##    -, São Cristóvão 
   -  FW  Romeu                              ##    -, Fluminense 
   -  FW  Tim                                ##    -, Fluminense 
   -  FW  Leônidas                           ##    -, Flamengo 
   -  FW  Niginho                            ##    -, Vasco da Gama 

