####################
# Colombia
# 
# Coaching Staff
# - Head Coach:  José Pékerman


####################
# Goal Keepers

Faryd Mondragón               ## Deportivo Cali
David Ospina                  ## Nice
Camilo Vargas                 ## Santa Fe

####################
# Defenders

Mario Yepes                   ## Atalanta
Luis Amaranto Perea           ## Cruz Azul
Juan Camilo Zúñiga            ## Napoli
Pablo Armero                  ## West Ham United
Cristián Zapata               ## Milan
Carlos Valdés                 ## San Lorenzo
Santiago Arias                ## PSV Eindhoven
Éder Álvarez Balanta          ## River Plate

####################
# Midfielders

Fredy Guarín                  ## Internazionale
Abel Aguilar                  ## Toulouse
Carlos Sánchez                ## Elche
Aldo Leão Ramírez             ## Morelia
Juan Guillermo Cuadrado       ## Fiorentina
James Rodríguez               ## Monaco
Edwin Valencia                ## Fluminense
Alexander Mejía               ## Atlético Nacional
Juan Fernando Quintero        ## Porto

####################
# Forwards

Radamel Falcao                ## Monaco
Teófilo Gutiérrez             ## River Plate
Jackson Martínez              ## Porto
Adrián Ramos                  ## Hertha BSC
Carlos Bacca                  ## Sevilla
Víctor Ibarbo                 ## Cagliari
Luis Muriel                   ## Udinese
