####################
# Greece
# 
# Coaching Staff
# - Head Coach:  Fernando Santos


####################
# Goal Keepers

Orestis Karnezis              ## Granada
Stefanos Kapino               ## Panathinaikos
Panagiotis Glykos             ## PAOK

####################
# Defenders

Vasilis Torosidis             ## Roma
Loukas Vyntra                 ## Levante
Sokratis Papastathopoulos     ## Borussia Dortmund
Giannis Maniatis              ## Olympiacos
José Holebas                  ## Olympiacos
Vangelis Moras                ## Hellas Verona
Giorgos Tzavellas             ## PAOK
Kostas Manolas                ## Olympiacos

####################
# Midfielders

Giorgos Karagounis (captain)  ## Fulham
Kostas Katsouranis            ## PAOK
Alexandros Tziolis            ## Kayserispor
Giannis Fetfatzidis           ## Genoa
Lazaros Christodoulopoulos    ## Bologna
Panagiotis Kone               ## Bologna
Panagiotis Tachtsidis         ## Torino
Andreas Samaris               ## Olympiacos

####################
# Forwards

Dimitris Salpingidis          ## PAOK
Giorgos Samaras               ## Celtic
Theofanis Gekas               ## Konyaspor
Kostas Mitroglou              ## Fulham
