= World Cup 1930     # 13 Teams

== USA     # 16 Players

   Jimmy DOUGLAS,                 GK,  b. 1898/01/12
   Frank VAUGHN,                  GK,  b. 1902/02/18

   Ralph TRACY,                   DF,  b. 1904/12/23
   Alexander WOOD,                DF,  b. 1907/06/12
   George MOORHOUSE,              DF,  b. 1901/05/04

   Jimmy GALLAGHER,               MF,  b. 1901/06/07
   Mike BOOKIE,                   MF,  b. 1904/09/12
   Arnie OLIVER,                  MF,  b. 1907/05/22
   Phil SLONE,                    MF,  b. 1907/01/20

   Billy GONSALVES,               FW,  b. 1908/08/10
   Tom FLORIE,                    FW,  b. 1897/09/06
   Jim BROWN,                     FW,  b. 1908/12/31
   Jim GENTLE,                    FW,  b. 1904/07/21
   Bart McGHEE,                   FW,  b. 1899/04/30
   Bert PATENAUDE,                FW,  b. 1909/11/04
   Andrew AULD,                   FW,  b. 1900/01/26

   Bob MILLAR (USA),              MG,  b. 1890/05/12


== Bolivia     # 17 Players

   Jesus BERMUDEZ,                GK,  b. 1902/01/01
   Miguel MURILLO,                GK,  b. 1898/03/24

   Segundo DURANDAL,              DF,  b. 1907/03/17
   Casiano CHAVARRIA,             DF,  b. 1901/08/03
   Luis REYES PENARANDA,          DF,  b. 1911/06/05

   Jorge ARGOTE,                  MF,  b. 1906/01/01
   Miguel BRITO,                  MF,            
   Jorge BALDERRAMA,              MF,  b. 1906/12/12
   Diogenes LARA,                 MF,  b. 1903/04/06
   Renato SAINZ,                  MF,  b. 1899/12/14

   Rafael MENDEZ,                 FW,  b. 1904/01/01
   Gumercindo GOMEZ,              FW,  b. 1907/01/01
   Rene FERNANDEZ,                FW,  b. 1906/01/01
   Jose NOYA,                     FW,            
   Jose BUSTAMANTE,               FW,  b. 1907/01/01
   Mario ALBORTA,                 FW,  b. 1910/09/19
   Eduardo REYES ORTIZ,           FW,  b. 1907/01/01

   Ulises SAUCEDO (BOL),          MG,  b. 1896/03/03


== Brazil     # 24 Players

   VELLOSO,                       GK,  b. 1908/09/25
   JOEL,                          GK,  b. 1904/05/01

   ITALIA,                        DF,  b. 1907/05/22
   BRILHANTE,                     DF,  b. 1904/11/05
   ZE LUIS,                       DF,  b. 1904/11/16

   IVAN MARIZ,                    MF,  b. 1910/05/16
   PAMPLONA,                      MF,  b. 1904/03/24
   BENVENUTTO,                    MF,  b. 1903/08/08
   FERNANDO GIUDICELLI,           MF,  b. 1906/03/01
   HERMOGENES,                    MF,  b. 1908/11/04
   OSCARINO,                      MF,  b. 1907/01/17
   FORTES,                        MF,  b. 1901/09/09
   FAUSTO,                        MF,  b. 1905/01/28

   PREGUINHO,                     FW,  b. 1905/02/08
   NILO,                          FW,  b. 1903/04/03
   MODERATO,                      FW,  b. 1902/07/14
   ARAKEN,                        FW,  b. 1905/07/17
