= World Cup 2026     # 48 Teams


== Czech Republic     # 26 Players

   1, Matěj KOVÁŘ                      GK,  b. 2000/05/17
  16, Jindřich STANĚK                  GK,  b. 1996/04/27
  23, Lukáš HORNÍČEK                   GK,  b. 2002/07/13

   2, David ZIMA                       DF,  b. 2000/11/08
   3, Tomáš HOLEŠ                      DF,  b. 1993/03/31
   4, Robin HRANÁČ                     DF,  b. 2000/01/29
   5, Vladimír COUFAL                  DF,  b. 1992/08/22
   6, Štěpán CHALOUPEK                 DF,  b. 2003/03/08
   7, Ladislav KREJČÍ                  DF,  b. 1999/04/20
  14, David JURÁSEK                    DF,  b. 2000/08/07
  20, Jaroslav ZELENÝ                  DF,  b. 1992/08/20
  21, David DOUDĚRA                    DF,  b. 1998/05/31

   8, Vladimír DARIDA                  MF,  b. 1990/08/08
  12, Lukáš ČERV                       MF,  b. 2001/04/10
  17, Lukáš PROVOD                     MF,  b. 1996/10/23
  18, Michal SADÍLEK                   MF,  b. 1999/05/31
  22, Tomáš SOUČEK                     MF,  b. 1995/02/27
  24, Alexandr SOJKA                   MF,  b. 2003/04/02
  25, Hugo SOCHŮREK                    MF,  b. 2008/06/07

   9, Adam HLOŽEK                      FW,  b. 2002/07/25
  10, Patrik SCHICK                    FW,  b. 1996/01/24
  11, Jan KUCHTA                       FW,  b. 1997/01/08
  13, Mojmír CHYTIL                    FW,  b. 1999/04/29
  15, Pavel ŠULC                       FW,  b. 2000/12/29
  19, Tomáš CHORÝ                      FW,  b. 1995/01/26
  26, Denis VIŠINSKÝ                   FW,  b. 2003/03/21


== Mexico     # 26 Players

   1, Raúl RANGEL                      GK,  b. 2000/02/25
  12, Carlos ACEVEDO                   GK,  b. 1996/04/19
  13, Guillermo OCHOA                  GK,  b. 1985/07/13

   2, Jorge SÁNCHEZ                    DF,  b. 1997/12/10
   3, César MONTES                     DF,  b. 1997/02/24
   4, Edson ÁLVAREZ                    DF,  b. 1997/10/24
   5, Johan VÁSQUEZ                    DF,  b. 1998/10/22
  15, Israel REYES                     DF,  b. 2000/05/23
  20, Mateo CHÁVEZ                     DF,  b. 2004/05/12
  23, Jesús GALLARDO                   DF,  b. 1994/08/15

   6, Érik LIRA                        MF,  b. 2000/05/08
   7, Luis ROMO                        MF,  b. 1995/06/05
   8, Álvaro FIDALGO                   MF,  b. 1997/04/09
  17, Orbelín PINEDA                   MF,  b. 1996/03/24
  18, Obed VARGAS                      MF,  b. 2005/08/05
  19, Gilberto MORA                    MF,  b. 2008/10/14
  24, Luis CHÁVEZ                      MF,  b. 1996/01/15
  26, Brian GUTIÉRREZ                  MF,  b. 2003/06/17

   9, Raúl JIMÉNEZ                     FW,  b. 1991/05/05
  10, Alexis VEGA                      FW,  b. 1997/11/25
  11, Santiago GIMÉNEZ                 FW,  b. 2001/04/18
  14, Armando GONZÁLEZ                 FW,  b. 2003/04/20
  16, Julián QUIÑONES                  FW,  b. 1997/03/24
  21, César HUERTA                     FW,  b. 2000/12/03
  22, Guillermo MARTÍNEZ               FW,  b. 1995/03/15
  25, Roberto ALVARADO                 FW,  b. 1998/09/07


== South Africa     # 26 Players

   1, Ronwen WILLIAMS                  GK,  b. 1992/01/21
  16, Sipho CHAINE                     GK,  b. 1996/12/14
  22, Ricardo GOSS                     GK,  b. 1994/04/02

   2, Thabang MATULUDI                 DF,  b. 1999/01/14
   3, Khulumani NDAMANE                DF,  b. 2004/02/05
   6, Aubrey MODIBA                    DF,  b. 1995/07/22
  14, Mbekezeli MBOKAZI                DF,  b. 2005/09/19
  18, Samukele KABINI                  DF,  b. 2004/03/15
  19, Nkosinathi SIBISI                DF,  b. 1995/09/22
  20, Khuliso MUDAU                    DF,  b. 1995/04/26
  21, Ime OKON                         DF,  b. 2004/02/20
  24, Olwethu MAKHANYA                 DF,  b. 2004/04/30
  26, Bradley CROSS                    DF,  b. 2001/01/30

   4, Teboho MOKOENA                   MF,  b. 1997/01/24
   5, Thalente MBATHA                  MF,  b. 2000/03/06
  11, Themba ZWANE                     MF,  b. 1989/08/03
  13, Sphephelo SITHOLE                MF,  b. 1999/03/03
  23, Jayden ADAMS                     MF,  b. 2001/05/05

   7, Oswin APPOLLIS                   FW,  b. 2001/08/25
   8, Tshepang MOREMI                  FW,  b. 2000/10/02
   9, Lyle FOSTER                      FW,  b. 2000/09/03
  10, Relebohile MOFOKENG              FW,  b. 2004/10/23
  12, Thapelo MASEKO                   FW,  b. 2003/11/11
  15, Iqraam RAYNERS                   FW,  b. 1995/12/19
  17, Evidence MAKGOPA                 FW,  b. 2000/06/05
  25, Kamogelo SEBELEBELE              FW,  b. 2002/07/21


== South Korea     # 26 Players

   1, Kim SEUNG-GYU                    GK,  b. 1990/09/30
  12, Song BUM-KEUN                    GK,  b. 1997/10/15
  21, Jo HYEON-WOO                     GK,  b. 1991/09/25

   2, Lee HAN-BEOM                     DF,  b. 2002/06/17
   4, Kim MIN-JAE                      DF,  b. 1996/11/15
   5, Kim TAE-HYEON                    DF,  b. 2000/09/17
  13, Lee TAE-SEOK                     DF,  b. 2002/07/28
  14, Cho WI-JE                        DF,  b. 2001/08/25
  15, Kim MOON-HWAN                    DF,  b. 1995/08/01
  16, Park JIN-SEOB                    DF,  b. 1995/10/23
  22, Seol YOUNG-WOO                   DF,  b. 1998/12/05
