pol, Poland,        POL, pl
gre, Greece, GRE, gr
rus, Russia,     RUS, ru
cze, Czech Republic,   CZE, cz
ned, Netherlands,  NED, nl
den, Denmark,     DEN, dk
ger, Germany,  GER, de
por, Portugal,     POR, pt
esp, Spain,      ESP, es
ita, Italy,      ITA, it
irl, Irland,       IRL, ie
cro, Croatia,     CRO, hr
ukr, Ukraine,      UKR, ua
swe, Sweden,     SWE, se
fra, France,   FRA, fr
eng, England,      ENG, en

## some more teams for wm quali

fro, Faroe Islands,  FRO, fo
kaz, Kazakhstan,    KAZ, kz
aut, Austria,      AUT, at
blr, Belarus,      BLR, by
fin, Finland,     FIN, fi
geo, Georgia,     GEO, ge
  
## some more teams for wm 2010

sui, Switzerland,      SUI, ch 
srb, Serbia,      SRB, rs
svn, Slovenia,    SVN, si
svk, Slovakia,     SVK, sk
tur, Turkey,  TUR, tr
rou, Romania,   ROU, ro
